time,open,high,low,close,tick_volume,spread,real_volume
2025-08-07 01:15:00,115035.55,115059.09,115021.39,115025.79,344,980,0
2025-08-07 01:16:00,115025.72,115037.78,115019.18,115034.35,340,980,0
2025-08-07 01:17:00,115034.36,115043.89,115034.19,115042.15,294,980,0
2025-08-07 01:18:00,115042.17,115067.68,115041.64,115064.35,341,980,0
2025-08-07 01:19:00,115064.01,115104.81,115060.27,115092.22,361,980,0
2025-08-07 01:20:00,115092.51,115121.89,115082.53,115108.77,370,980,0
2025-08-07 01:21:00,115108.74,115132.78,115108.6,115129.52,378,980,0
2025-08-07 01:22:00,115129.27,115151.79,115121.56,115143.07,383,980,0
2025-08-07 01:23:00,115142.09,115186.55,115140.81,115181.84,399,980,0
2025-08-07 01:24:00,115181.84,115191.42,115171.34,115183.65,375,980,0
2025-08-07 01:25:00,115183.5,115184.56,115162.29,115178.09,403,980,0
2025-08-07 01:26:00,115177.87,115268.18,115175.58,115257.98,417,980,0
2025-08-07 01:27:00,115255.59,115313.73,115235.58,115300.41,386,980,0
2025-08-07 01:28:00,115302.19,115304.89,115239.37,115257.33,410,980,0
2025-08-07 01:29:00,115257.33,115272.58,115257.33,115259.05,422,980,0
2025-08-07 01:30:00,115255.46,115255.46,115193.58,115222.96,409,980,0
2025-08-07 01:31:00,115225.5,115316.2,115223.69,115302.8,401,980,0
2025-08-07 01:32:00,115302.88,115305.24,115268.11,115271.94,392,980,0
2025-08-07 01:33:00,115272.57,115282.18,115245.48,115249.4,400,980,0
2025-08-07 01:34:00,115249.29,115250.7,115184.44,115189.08,387,980,0
2025-08-07 01:35:00,115189.08,115193.42,115131.6,115149.41,436,980,0
2025-08-07 01:36:00,115148.26,115164.55,115119.82,115132.7,384,980,0
2025-08-07 01:37:00,115132.47,115152.2,115126.06,115143.19,375,980,0
2025-08-07 01:38:00,115143.31,115167.57,115143.31,115156.54,356,980,0
2025-08-07 01:39:00,115156.55,115176.6,115142.57,115174.54,375,980,0
2025-08-07 01:40:00,115174.77,115185.35,115154.9,115155.99,363,980,0
2025-08-07 01:41:00,115156.17,115162.16,115145.77,115145.77,392,980,0
